שווי לחשיפה,שווי נייר,תאריך פקיעה,מחיר מימוש,דלתא,מטבע קניה,קוד מטבע קניה,מכפיל-יחס המרה,מטבע מכירה,קוד מטבע מכירה,כמות,תאור נייר,מספר נייר,קוד אפיק,שם חשבון,קוד בנק,מספר חשבון,שם הבנק,Issue_Date_CPI
"40,591.65","40,591.65",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל - מסלול כללי,10,21497023,בנק לאומי,
"61,878.49","61,878.49",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות - מסלול כללי,10,21497121,בנק לאומי,
"4,167.21","4,167.21",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש פיצויים  - מסלול כללי,10,21497219,בנק לאומי,
258.11,258.11,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל - מסלול כספית,10,29934083,בנק לאומי,
435.34,435.34,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל - מסלול אגח ממשלתי,10,29934181,בנק לאומי,
301.35,301.35,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות - מסלול כספית,10,29934279,בנק לאומי,
516.94,516.94,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות - מסלול אגח ממשלתי,10,29934377,בנק לאומי,
"1,981.66","1,981.66",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל - מסלול אגח,10,29944863,בנק לאומי,
"2,994.91","2,994.91",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל - מסלול גולד,10,29944275,בנק לאומי,
867.94,867.94,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל - מסלול מנייתי,10,29944765,בנק לאומי,
"1,728.47","1,728.47",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות - מסלול אגח,10,29944961,בנק לאומי,
"4,256.98","4,256.98",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות - מסלול גולד,10,29944569,בנק לאומי,
"1,366.19","1,366.19",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות - מסלול מנייתי,10,29943670,בנק לאומי,
353.01,353.01,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש פיצויים - מסלול אגח,10,29945076,בנק לאומי,
"1,233.76","1,233.76",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש פנסיה מקיפה,10,29943768,בנק לאומי,
121.18,121.18,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש פנסיה כללית,10,29943964,בנק לאומי,
20.63,20.63,,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש פיצויים כספית,10,29946857,בנק לאומי,
"26,330.02","26,330.02",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש גמל להיט קלאסי,10,29942967,בנק לאומי,
"26,526.94","26,526.94",,,,,,1,,,,((ריבית לקבל עוש(ריבית לקבל(ריבית לקבל,10001,99901,א.ש השתלמות נירית קלאסי,10,29943278,בנק לאומי,
