תאור נייר,מספר נייר,מספר נייר 2,תאריך פדיון סופי,תאריך הנפקה,תאריך נתונים,שם תיק,מספר תיק,שווי נייר,סוג חוזה,מחיר מימוש,יחס המרה,שער נייר,מטבע נקוב,ארופאי,CALL/PUT,מחיר יחידת נכס בסיס,"ע""נ ליחידה",מדד בסיס,מטבע בסיס,מדד נוכחי,מטבע הצמדה,מטבע מימוש,סוג ריבית,שפיצר,קופון הבא,פרמיה לריבית משתנה,תאריך ריבית הבא,תאריך קרן הבא,תאריך שינוי הבא,מועד אקס,תדירות ריבית,תדירות פדיון,תדירות שינוי ריבית,דרוג,קרן,כמות,ענ ליחידה,ריבית צבורה,דבידנד,סחירות,ענף,בורסה,חשבון,קוד חוב בפיגור,מדינת חשיפה,"מספר נ""ע מקורי",קבוצת לווים
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,80020,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,115526,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,115517,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,467065,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2420572,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2419451,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,24446,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2419549,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,552836,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,115223,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2708835,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2709048,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2708933,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,115525,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,199300,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2549924,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,9800,0,ישראל,0,
